"is_active","response_time_hours","category_id","created_at","customer_id","id","updated_at","contract_name","service_scope"
True,1,NULL,"2026-07-12 11:04:34.234156","1","1","2026-07-12 11:04:34.234156","پشتیبانی عملیات حساس سازمانی","پوشش ۲۴/۷ برای کلیه حوادث تولید با مهندس ارتقاء اختصاصی."
True,2,NULL,"2026-07-12 11:04:34.234156","2","2","2026-07-12 11:04:34.234156","پشتیبانی پریمیوم ۲۴/۷","پشتیبانی شبانه‌روزی شامل محیط‌های تولید و راه‌اندازی."
True,8,NULL,"2026-07-12 11:04:34.234156","3","3","2026-07-12 11:04:34.234156","پشتیبانی ساعات اداری","پشتیبانی در روزهای شنبه تا پنجشنبه، ساعت ۹ صبح تا ۶ عصر به وقت محلی."
True,48,NULL,"2026-07-12 11:04:34.234156","4","4","2026-07-12 11:04:34.234156","پشتیبانی پایه ایمیلی","پشتیبانی فقط ایمیلی برای استعلامات غیربحرانی و گزارش اشکالات."
True,1,NULL,"2026-07-12 11:04:34.234156","5","5","2026-07-12 11:04:34.234156","پشتیبانی عملیات حساس سازمانی","پوشش ۲۴/۷ با تیم پاسخ‌دهی حوادث اختصاصی تضمین‌شده."
False,2,NULL,"2026-07-12 11:04:34.234156","6","6","2026-07-12 11:04:34.234156","پشتیبانی پریمیوم ۲۴/۷","پشتیبانی شبانه‌روزی شامل آخر هفته‌ها و تعطیلات رسمی."
True,8,NULL,"2026-07-12 11:04:34.234156","7","7","2026-07-12 11:04:34.234156","پشتیبانی ساعات اداری","پشتیبانی در روزهای شنبه تا پنجشنبه در ساعات اداری استاندارد."
True,4,NULL,"2026-07-12 11:04:34.234156","8","8","2026-07-12 11:04:34.234156","پشتیبانی توسعه‌یافته - سطح تولید","پشتیبانی اولویت‌دار برای یکپارچه‌سازی خطوط تولید با پوشش نوبتی."
True,24,NULL,"2026-07-12 11:04:34.234156","9","9","2026-07-12 11:04:34.234156","پشتیبانی پایه ایمیلی","پشتیبانی فقط ایمیلی با پردازش استاندارد برای پرسش‌های عمومی."
True,1,NULL,"2026-07-12 11:04:34.234156","10","10","2026-07-12 11:04:34.234156","پشتیبانی عملیات حساس سازمانی","پوشش ۲۴/۷ با بررسی‌های فصلی خدمات و مدیر حساب مشخص."
True,8,NULL,"2026-07-12 11:04:34.249799","11","11","2026-07-12 11:04:34.249799","پشتیبانی ساعات اداری","Business-hours support covering platform and reporting modules."
True,2,NULL,"2026-07-12 11:04:34.249799","12","12","2026-07-12 11:04:34.249799","پشتیبانی پریمیوم ۲۴/۷","پشتیبانی شبانه‌روزی با تضمین ۹۹.۹٪ زمان فعالیت برای سیستم‌های عملیات پرواز."
True,4,NULL,"2026-07-12 11:04:34.249799","13","13","2026-07-12 11:04:34.249799","پشتیبانی توسعه‌یافته - سطح مخابرات","پشتیبانی اولویت‌دار برای یکپارچه‌سازی نظارت و هشدار شبکه."
True,8,NULL,"2026-07-12 11:04:34.249799","14","14","2026-07-12 11:04:34.249799","پشتیبانی ساعات اداری","پشتیبانی ساعات اداری برای سیستم‌های رزرو و نوبت‌دهی."
False,48,NULL,"2026-07-12 11:04:34.249799","15","15","2026-07-12 11:04:34.249799","پشتیبانی پایه ایمیلی","پشتیبانی فقط ایمیلی برای مستندات پروژه و ابزارهای زمان‌بندی."
True,4,NULL,"2026-07-12 11:04:34.249799","16","16","2026-07-12 11:04:34.249799","پشتیبانی توسعه‌یافته - سطح رباتیک","پشتیبانی اولویت‌دار برای سیستم‌های مدیریت ناوگان و به‌روزرسانی firmware."
True,8,NULL,"2026-07-12 11:04:34.249799","17","17","2026-07-12 11:04:34.249799","پشتیبانی ساعات اداری","پشتیبانی ساعات اداری برای داشبوردها و پایپ‌لاین‌های تحلیل."
True,24,NULL,"2026-07-12 11:04:34.249799","18","18","2026-07-12 11:04:34.249799","پشتیبانی پایه ایمیلی","پشتیبانی فقط ایمیلی برای استعلامات ویترین و مدیریت سفارشات."
True,1,NULL,"2026-07-12 11:04:34.249799","19","19","2026-07-12 11:04:34.249799","پشتیبانی عملیات حساس سازمانی","پوشش ۲۴/۷ با پاسخ‌دهی حوادث امنیتی اختصاصی برای سیستم‌های کنترل دسترسی."
True,2,NULL,"2026-07-12 11:04:34.249799","20","20","2026-07-12 11:04:34.249799","پشتیبانی پریمیوم ۲۴/۷","پشتیبانی شبانه‌روزی برای زیرساخت تحویل محتوا و پخش استریم."
